	final	final	initial	initial
	Rep1	Rep2	Rep1	Rep2
	analysis/screen/output/003_merge_counts/to_process/Common_Total_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Total_R2.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R2.counts
common:TSS103107_-_32551742.23-ENST00000450093	6472	7205	800	12239
common:TSS103107_-_32551882.23-ENST00000450093	5654	5625	775	11755
common:TSS103107_-_32551917.23-ENST00000450093	6671	6806	924	11031
common:TSS103107_-_32552149.23-ENST00000450093	4415	4768	591	7450
common:TSS103108_+_32552396.23-P1P2	4552	3864	683	7077
common:TSS103108_+_32552406.23-P1P2	7335	9003	999	13236
common:TSS103108_+_32552597.23-P1P2	4010	4236	616	8188
common:TSS103108_+_32552610.23-P1P2	1772	2059	409	4558
common:TSS103108_-_32552314.23-P1P2	2503	2562	388	5240
common:TSS103108_-_32552317.23-P1P2	4121	3696	736	6609
common:TSS103108_-_32552342.23-P1P2	3222	3039	570	4472
common:TSS103108_-_32552349.23-P1P2	2651	2295	310	2851
common:TSS103108_-_32552374.23-P1P2	2228	2440	294	4809
common:TSS103108_-_32552385.23-P1P2	2920	2699	330	5668
common:TSS103169_+_34665573.23-P1P2	3388	3861	532	8075
common:TSS103169_+_34665586.23-P1P2	11605	12192	1654	26670
common:TSS103169_+_34665781.23-P1P2	9168	9612	1437	15359
common:TSS103169_+_34665792.23-P1P2	9857	10084	979	15751
common:TSS103169_+_34665801.23-P1P2	6786	7478	963	11810
common:TSS103169_+_34665863.23-P1P2	7289	6682	992	11529
common:TSS103169_+_34666005.23-P1P2	6216	5782	837	10741
common:TSS103169_-_34665820.23-P1P2	8117	7981	1356	13757
common:TSS103169_-_34665854.23-P1P2	6438	6254	1111	9604
common:TSS103169_-_34665878.23-P1P2	8069	8193	1426	17793
common:TSS103233_+_37079993.23-P1P2	14419	15098	2351	24175
common:TSS103233_+_37080048.23-P1P2	6784	6551	1236	11650
common:TSS103233_+_37080077.23-P1P2	11172	10956	1365	20139
common:TSS103233_+_37080081.23-P1P2	10937	11149	1635	17251
common:TSS103233_+_37080085.23-P1P2	8721	8652	1252	13665
common:TSS103233_+_37080148.23-P1P2	2252	2292	288	4706
common:TSS103233_+_37080151.23-P1P2	5839	5927	802	8736
common:TSS103233_-_37079889.23-P1P2	9804	9312	1708	13875
common:TSS103233_-_37080276.23-P1P2	11796	12487	1800	22142
common:TSS103233_-_37080279.23-P1P2	9293	10424	1144	16021
common:TSS103241_+_37509362.23-ENST00000413915	4031	4031	552	5716
common:TSS103241_+_37509365.23-ENST00000413915	9089	9464	1375	13604
common:TSS103241_+_37509373.23-ENST00000413915	3497	3551	604	5936
common:TSS103241_+_37509395.23-ENST00000413915	4294	4147	464	7573
