	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene															
LH00209	ENST00000373226	0.6918206636155697	0.1399537024919371	10.0	10.0	ENST00000373226	0.8319662964912121	-0.013191873908570378	10.0	10.0	ENST00000373226	0.7347187650909602	0.01837106166629471	10.0	10.0
LH00212	CUFF.1029.1,CUFF.1029.2	0.4825381817102248	0.2344457432905609	10.0	10.0	CUFF.1029.1,CUFF.1029.2	0.8907722737098482	-0.1966756628915626	10.0	10.0	CUFF.1029.1,CUFF.1029.2	0.711421095777585	0.01665983453457397	10.0	10.0
LH00213	CUFF.1030.1	0.5127830595475875	0.04391562889346002	10.0	10.0	CUFF.1030.1	0.10351217934192691	0.15427788891338365	10.0	10.0	CUFF.1030.1	0.15638967937518444	0.040229612310071584	10.0	10.0
LH00214	CUFF.1028.2	0.723025160235051	0.020397147966142632	10.0	10.0	CUFF.1028.2	0.5165756885162532	-0.006425556825904862	10.0	10.0	CUFF.1028.2	0.5708024907730571	-0.01396466655996309	10.0	10.0
LH00216	CUFF.1033.3	0.5640067205179132	0.16905979698717188	10.0	10.0	CUFF.1033.3	0.9304863733389322	-0.005274054125053065	10.0	10.0	CUFF.1033.3	0.5598984968359615	0.08189287143105939	10.0	10.0
LH00218	CUFF.1043.2	0.4640951592163548	-0.158134767623158	10.0	10.0	CUFF.1043.2	0.20350002053236727	-0.2718692201180251	10.0	10.0	CUFF.1043.2	0.16271009811733972	-0.22180025280879448	10.0	10.0
LH00221	CUFF.1063.1	0.422737067964023	-0.01765291799655802	10.0	10.0	CUFF.1063.1	0.8256830553420471	-0.11224679157269168	10.0	10.0	CUFF.1063.1	0.7926659284017339	-0.0060823063627898815	10.0	10.0
LH00222	CUFF.1060.1	0.40402722816788117	0.14006164433996793	10.0	10.0	CUFF.1060.1	0.9277407536428961	0.03480260299738699	10.0	10.0	CUFF.1060.1	0.6531374503912097	0.09890373091044787	10.0	10.0
LH00223	P1P2	0.03161696576820492	-0.2637249028486561	10.0	10.0	P1P2	1.791695983724613e-05	-0.6896978883933945	10.0	10.0	P1P2	1.8578582293495e-05	-0.5652893515964251	10.0	10.0
LH00224	CUFF.1079.1	0.874156007656776	-0.026374571434498856	10.0	10.0	CUFF.1079.1	0.16797469768029205	0.10335917594463195	10.0	10.0	CUFF.1079.1	0.38475835459500796	0.03623300871281824	10.0	10.0
