	neg	neg	pos	pos
	Rep1	Rep2	Rep1	Rep2
	analysis/screen/output/003_merge_counts/to_process/Common_Negative_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Negative_R2.counts	analysis/screen/output/003_merge_counts/to_process/Common_Positive_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Positive_R2.counts
common:TSS102573_-_144723305.23-CUFF.48795.1	4186	3843	3130	2903
common:TSS102573_-_144723370.23-CUFF.48795.1	3934	3999	3125	2580
common:TSS102573_-_144723444.23-CUFF.48795.1	2546	2774	1941	1432
common:TSS102573_-_144723511.23-CUFF.48795.1	4106	3843	2721	3232
common:TSS102575_+_144737364.23-CUFF.48800.1	2434	2252	1955	1709
common:TSS102575_+_144737558.23-CUFF.48800.1	3191	3386	2195	2596
common:TSS102575_+_144737763.23-CUFF.48800.1	2293	2242	1511	1903
common:TSS102575_+_144737768.23-CUFF.48800.1	1705	1826	1346	1156
common:TSS102575_+_144737773.23-CUFF.48800.1	2144	2098	1528	1636
common:TSS102575_-_144737416.23-CUFF.48800.1	2702	2838	1651	1903
common:TSS102575_-_144737426.23-CUFF.48800.1	2269	2405	1079	2210
common:TSS102575_-_144737572.23-CUFF.48800.1	5071	4732	3365	3636
common:TSS102575_-_144737799.23-CUFF.48800.1	3024	3343	2645	2589
common:TSS102575_-_144737804.23-CUFF.48800.1	3174	3117	2383	2624
common:TSS102578_+_144777847.23-CUFF.48805.1	284	285	271	292
common:TSS102578_+_144777853.23-CUFF.48805.1	2976	2911	1998	2261
common:TSS102578_+_144777872.23-CUFF.48805.1	3035	3037	2193	2655
common:TSS102578_+_144777937.23-CUFF.48805.1	2309	2592	2295	1821
common:TSS102578_-_144777842.23-CUFF.48805.1	4434	4091	3408	3300
common:TSS102578_-_144777862.23-CUFF.48805.1	2673	2862	1879	1806
common:TSS102578_-_144777917.23-CUFF.48805.1	4653	4563	3598	3858
common:TSS102578_-_144777925.23-CUFF.48805.1	3360	3058	2089	2089
common:TSS102578_-_144778000.23-CUFF.48805.1	3443	3557	2596	2379
common:TSS102578_-_144778011.23-CUFF.48805.1	3152	3378	2759	2560
common:TSS102595_+_145137212.23-CUFF.48828.1	2905	2916	2127	2978
common:TSS102595_+_145137254.23-CUFF.48828.1	2134	2348	1524	2243
common:TSS102595_+_145137319.23-CUFF.48828.1	1385	1508	699	1580
common:TSS102595_+_145137344.23-CUFF.48828.1	865	1170	797	882
common:TSS102595_+_145137419.23-CUFF.48828.1	3293	3395	3080	3803
common:TSS102595_-_145137356.23-CUFF.48828.1	1578	1417	894	1432
common:TSS102595_-_145137359.23-CUFF.48828.1	2549	2581	1758	1804
common:TSS102595_-_145137372.23-CUFF.48828.1	4006	3823	2620	2973
common:TSS102595_-_145137391.23-CUFF.48828.1	811	930	609	698
common:TSS102595_-_145137409.23-CUFF.48828.1	1189	1199	985	507
common:TSS102599_+_145538582.23-P1P2	899	857	883	582
common:TSS102599_+_145538593.23-P1P2	2618	2159	1868	2399
common:TSS102599_+_145538735.23-P1P2	899	900	625	780
common:TSS102599_+_145538753.23-P1P2	1528	1704	1314	758
common:TSS102599_-_145538447.23-P1P2	2540	2835	1925	1996
common:TSS102599_-_145538575.23-P1P2	3555	3624	2677	2645
common:TSS102599_-_145538579.23-P1P2	3234	3047	1938	2158
common:TSS102599_-_145538719.23-P1P2	1653	1593	1001	1140
common:TSS102599_-_145538726.23-P1P2	1918	2043	1674	1784
common:TSS102599_-_145538765.23-P1P2	3555	3624	2378	2747
common:TSS102622_+_27674.23-ENST00000422679	2808	2645	2422	1739
common:TSS102622_+_27689.23-ENST00000422679	943	993	594	874
common:TSS102622_+_27698.23-ENST00000422679	2663	2825	2047	2424
common:TSS102622_+_27738.23-ENST00000422679	5172	5282	4410	3674
common:TSS102622_+_27798.23-ENST00000422679	2599	2768	2042	2152
common:TSS102622_+_27857.23-ENST00000422679	4037	4086	3029	3202
common:TSS102622_+_27926.23-ENST00000422679	4265	3764	2423	3310
common:TSS102622_+_27937.23-ENST00000422679	3462	3358	2389	2094
common:TSS102622_-_27747.23-ENST00000422679	2168	2178	1933	2090
common:TSS102622_-_27817.23-ENST00000422679	3676	3627	2225	2736
common:TSS102695_+_3526116.23-P1P2	3134	3255	2253	2324
common:TSS102695_+_3526137.23-P1P2	2681	2710	1834	1660
