	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene															
LH00327	CUFF.1735.1	0.14226418282373346	0.1654547874449801	10.0	10.0	CUFF.1735.1	0.25531957925007553	-0.11064813506006561	10.0	10.0	CUFF.1735.1	0.5830963365107424	-0.05962320273988439	10.0	10.0
LH00328	CUFF.1733.1	0.5424581916474828	0.07261802056457713	10.0	10.0	CUFF.1733.1	6.463360826840406e-05	0.45313113125984844	10.0	10.0	CUFF.1733.1	0.001696064972610881	0.33360584572393553	10.0	10.0
LH00334	CUFF.1807.1	0.726263116476449	-0.010752051642904261	10.0	10.0	CUFF.1807.1	0.9371612793921491	0.07339378913074264	10.0	10.0	CUFF.1807.1	0.9861838756385772	-0.047690684668268556	10.0	10.0
LH00335															
LH00336	CUFF.1838.1	0.23988098311255202	0.10478030822152617	10.0	10.0	CUFF.1838.1	0.052085753638219025	0.29481243281459174	10.0	10.0	CUFF.1838.1	0.018782706127291385	0.1936184483194967	10.0	10.0
LH00341	TUCPT_00000056	0.026602289910080193	-0.4093378548079576	10.0	10.0	TUCPT_00000056	0.8871520033771407	-0.18869731148274993	10.0	10.0	TUCPT_00000056	0.08427356863260917	-0.2684891719852488	10.0	10.0
LH00354															
LH00358	CUFF.1990.4	0.6123618908045287	-0.09911030627604787	10.0	10.0	CUFF.1990.4	0.4075702400389706	0.10760066779112465	10.0	10.0	CUFF.1990.4	0.6826664162360034	0.04874395181623847	10.0	10.0
LH00360															
LH00362	CUFF.2001.1	0.7592755671571003	0.0730906480732542	10.0	10.0	CUFF.2001.1	0.8611221971661251	-0.05329991130460099	10.0	10.0	CUFF.2001.1	0.8477494799777363	0.07080713352512762	10.0	10.0
LH00368	ENST00000609247	0.1303849396416739	-0.1729057556331627	10.0	10.0	ENST00000609247	0.14459729898334064	-0.20211451504728814	10.0	10.0	ENST00000609247	0.0487980713400763	-0.32554906965435954	10.0	10.0
LH00369	ENST00000414686	0.5052061308053681	0.0821004816404625	10.0	10.0	ENST00000414686	0.998202749442662	-0.056222386813712576	10.0	10.0	ENST00000414686	0.617655503386056	0.05184696780112619	10.0	10.0
LH00383															
LH00391	CUFF.2246.2	0.9993992689751865	0.2998029243986568	10.0	10.0	CUFF.2246.2	0.6714018245203109	-0.13172854395244302	10.0	10.0	CUFF.2246.2	0.7444184840538106	0.007750412009616033	10.0	10.0
LH00394	ENST00000609909	0.07423906862457534	-0.34148993893426965	10.0	10.0	ENST00000609909	0.6260489569368932	-0.1872698150600817	10.0	10.0	ENST00000609909	0.07278571397179692	-0.1734208821573934	10.0	10.0
LH00395	P2	0.0003638506038884884	-0.815824800861348	10.0	10.0	P1	0.0002361171532863991	-0.9709339575562784	10.0	10.0	P2	9.410195706538633e-05	-0.8272378236702748	10.0	10.0
LH00401	ENST00000609118	0.3634789147651727	-0.17712337885267515	10.0	10.0	ENST00000609118	0.5657019115084663	0.1192302619879056	10.0	10.0	ENST00000609118	0.7730692528938388	-0.05188084138876078	10.0	10.0
LH00430	P1P2	0.32731862280669544	-0.26947677847931956	10.0	10.0	P1P2	0.35533814324863533	-0.1324775026293895	10.0	10.0	P1P2	0.19247982310869238	-0.10239146562646445	10.0	10.0
LH00431	P1P2	0.44834617122367104	0.09784331021255005	10.0	10.0	P1P2	0.8658445377461591	-0.12771964855368892	10.0	10.0	P1P2	0.9070976021643626	0.09393382969010895	10.0	10.0
LH00437	CUFF.2497.5	0.15063413739806497	0.49936695272706116	10.0	10.0	CUFF.2497.5	0.7428229820647256	0.19644559687246413	10.0	10.0	CUFF.2497.5	0.31556082634044	0.24524671799267342	10.0	10.0
LH00438	ENST00000602412	0.670551528870514	-0.08596893788293279	10.0	10.0	ENST00000602412	0.5555864201948042	-0.0565266233741597	10.0	10.0	ENST00000602412	0.4592360566924235	-0.05711959027885254	10.0	10.0
LH00462	P1P2	0.1303849396416739	-0.18385907536382282	10.0	10.0	P1P2	0.03598494901848476	-0.07649195156535506	10.0	10.0	P1P2	0.02775439246132552	-0.26566765774708706	10.0	10.0
LH00463	CUFF.2525.1,CUFF.2525.2	0.09097608610283685	-0.16777716459380362	10.0	10.0	CUFF.2525.1,CUFF.2525.2	0.5636717540140599	-0.18890178788744091	10.0	10.0	CUFF.2525.1,CUFF.2525.2	0.05180471475237731	-0.23831127225570903	10.0	10.0
LH00477	CUFF.2584.1	0.14027179330869982	-0.3039875063397999	9.0	9.0	CUFF.2584.1	0.5217024089060417	0.3556955524539589	9.0	9.0	CUFF.2584.1	0.6848730173608952	0.029606345124187115	9.0	9.0
LH00478	P1P2	0.23332076027510396	-0.4106400929419745	10.0	10.0	P1P2	0.6143921158685579	-0.1340411034274823	10.0	10.0	P1P2	0.5168226233637806	0.05996628459910832	10.0	10.0
LH00479	CUFF.2587.3	0.5575309584501276	-0.1692329707546835	10.0	10.0	CUFF.2587.3	0.5759050302234503	0.1892273384581745	10.0	10.0	CUFF.2587.3	0.6982040477245055	0.09865879352464872	10.0	10.0
LH00480	ENST00000415104	0.2327307465089833	-0.048101889024352286	10.0	10.0	ENST00000415104	0.298379828146905	0.03446663908138755	10.0	10.0	ENST00000415104	0.5882742743280163	-0.00567066975041174	10.0	10.0
LH00483	P1P2	0.5256249349247109	-0.19426641649608375	10.0	10.0	P1P2	0.10564940228555023	-0.3740847388276765	10.0	10.0	P1P2	0.027647907039769416	-0.21770111512330118	10.0	10.0
LH00487															
LH00489	ENST00000424684	0.9202360909470458	0.17125146693000812	10.0	10.0	ENST00000424684	0.8493384054704107	-0.11601865353107323	10.0	10.0	ENST00000424684	0.9621681286475636	-0.07708964720734265	10.0	10.0
LH00490	ENST00000433084	0.6793540758070735	-0.1349442142864793	10.0	10.0	ENST00000433084	0.021800974422590817	0.4018216563612758	10.0	10.0	ENST00000433084	0.15321694310064643	0.24800984692228933	10.0	10.0
LH00495	ENST00000608318	0.16802780015865737	-0.3879636576849703	10.0	10.0	ENST00000608318	0.5006267623758054	0.07952476589997083	10.0	10.0	ENST00000608318	0.1358291367831142	-0.1375540343914531	10.0	10.0
LH00496	P1P2	0.5013647575256605	0.16337366129006162	10.0	10.0	P1P2	0.40417743431656206	0.16550192439509726	10.0	10.0	P1P2	0.10566425206342579	0.0687341781426539	10.0	10.0
LH00499															
LH00501	CUFF.2653.2	0.8987497317776895	-0.03081764952887094	10.0	10.0	CUFF.2653.2	0.698991016619363	-0.3208508903438406	10.0	10.0	CUFF.2653.2	0.4011950691343009	-0.04666963529088469	10.0	10.0
LH00503	P1P2	0.2609762034758887	0.31405740410695937	10.0	10.0	P1P2	0.6637536017612468	-0.1371253137093881	10.0	10.0	P1P2	0.41226554526409975	-0.06472317151895697	10.0	10.0
LH00507	ENST00000422153	0.6018353564518559	-0.07357178056141912	10.0	10.0	ENST00000422153	0.3858210674222462	0.16643524877580165	10.0	10.0	ENST00000422153	0.5226823345038882	-0.023482474188771623	10.0	10.0
LH00511															
LH00522	ENST00000608236	0.3162874591772865	0.05370961049936995	10.0	10.0	ENST00000608236	0.7012160198371433	-0.13716755555072016	10.0	10.0	ENST00000608236	0.21054049186392332	-0.01467257074009995	10.0	10.0
LH00526	P1P2	1.2100979547142881e-06	-1.8399545481428774	10.0	10.0	P1P2	0.00015187082866799438	-2.2105516176617264	10.0	10.0	P1P2	3.424409021465578e-05	-2.0028119559876196	10.0	10.0
LH00533	P1P2	0.4456467930818342	-0.038754550351077804	10.0	10.0	P1P2	0.4939652669054322	-0.24123512161753355	10.0	10.0	P1P2	0.44206206864131303	-0.1789415473265911	10.0	10.0
LH00544	CUFF.2835.1	0.32435284160705646	-0.08458738374580867	10.0	10.0	CUFF.2835.1	0.6007405824935095	0.21069799514245213	10.0	10.0	CUFF.2835.1	0.28264564282106963	0.15437658414396363	10.0	10.0
LH00545	CUFF.2838.1	0.5080973027308618	0.14882205783888977	10.0	10.0	CUFF.2838.1	0.21400015706334163	-0.033884522470831735	10.0	10.0	CUFF.2838.1	0.35012090331238577	0.06191341063336218	10.0	10.0
LH00556															
