gene,Mann-Whitney p-value,average log2 enrichment of strongest 3 sgRNAs,sgRNAs passing filter,screen score
LH01383,0.783887226,0.028121429,10,0.004524243
LH01385,0.49343316,0.705228426,10,0.3291455
LH01395,0.74879584,0.288281324,10,0.055103028
LH01396,0.839378209,-0.745904448,10,0.086294151
LH01397,0.823487052,-0.306520063,10,0.039332538
LH01398,0.098360428,1.07527344,10,1.647664179
LH01399,0.105132143,-0.746593779,10,1.111177701
LH01400,0.712455083,-0.466179361,9,0.104430924
LH01401,0.850418679,-0.17551584,10,0.018790118
LH01402,0.315758241,0.481622008,9,0.366842241
LH01411,0.989450746,0.349445207,9,0.002448662
LH01417,0.978024527,-0.185085807,9,0.002717407
LH01418,0.073919709,0.273354503,10,0.470461138
LH01424,0.852876185,0.355479069,10,0.037378598
LH01437,0.428085651,0.287665819,10,0.161262159
LH01440,0.681086354,0.712848903,9,0.180896733
LH01445,0.763889931,0.09872973,10,0.017569621
LH01450,0.721245182,0.253383164,10,0.054708558
LH01451,0.521537309,-0.094623796,10,0.040699727
LH01452,0.339345781,0.75991122,10,0.542637155
LH01453,0.324067159,0.356466615,9,0.265396146
LH01456,0.109021637,0.32414994,9,0.474661293
LH01457,0.940035899,0.208122602,10,0.008503473
LH01467,0.866006444,0.146479907,10,0.013923683
LH01472,0.042513723,0.325572669,10,0.679324675
LH01477,0.969580233,0.265666674,10,0.005422643
LH01484,0.593781414,0.644274537,10,0.221890765
LH01494,0.777891757,0.224326323,9,0.037228157
LH01504,0.700234149,-1.214069339,10,0.285848458
LH01505,0.680215629,0.472127021,10,0.120208795
LH01506,0.764408506,0.891335476,9,0.158219484
LH01507,0.908089176,-0.53302823,10,0.033955615
LH01510,0.22631765,0.078498695,7,0.077064536
LH01511,0.167857663,0.665124114,10,0.784296406
LH01514,0.2884606,-0.113404522,10,0.093153124
LH01534,0.982912091,-0.011797729,10,0.000134354
LH01535,0.59994221,0.081698125,10,0.027579972
LH01537,0.770272655,0.042259238,10,0.00728798
LH01541,0.176891367,0.110023734,10,0.125926309
LH01543,0.251092551,0.509674155,10,0.465379221
LH01544,0.645373171,0.272017345,7,0.078709122
LH01545,0.789110581,-0.21053017,10,0.032946761
LH01551,0.872585705,0.053523594,10,0.004820038
LH01552,0.090989447,0.75308456,9,1.192727087
LH01555,0.192793859,0.587138113,9,0.638605373
LH01556,0.897861911,-0.13904618,9,0.009898267
LH01558,0.717337779,0.454560093,10,0.099776704
LH01559,0.145128255,-1.892520383,10,2.413548165
LH01561,0.492774041,0.160491166,10,0.075046474
LH01566,0.796761738,0.113733708,10,0.017073554
LH01571,0.957089262,-0.686014616,10,0.01987996
LH01577,0.275609039,0.715628224,10,0.609383527
LH01583,0.00286047,0.951345844,10,3.68149073
LH01586,0.509611368,0.308602472,9,0.13745335
LH01588,0.507491686,1.342443716,9,0.601629386
LH01589,0.487845722,1.317805541,10,0.624964541
LH01591,0.826283909,-0.369133585,7,0.046540116
LH01596,0.333709706,-1.294247406,7,0.938517987
LH01598,0.233425654,0.452593948,10,0.435077446
