,sgRNA read counts,,,,sgRNA phentoypes,,
,T0,T0,T14,T14,gamma,gamma,gamma
,Rep1,Rep2,Rep1,Rep2,Rep1,Rep2,ave_Rep1_Rep2
sgId,,,,,,,
ACAT2_+_160183505.23-P1P2,376,318,375,389,-0.088143388,-0.041662211,-0.064902799
ACAT2_-_160183054.23-P1P2,267,255,172,269,-0.718732499,-0.255296675,-0.487014587
ACAT2_-_160183095.23-P1P2,429,674,496,466,0.125061151,-0.864824237,-0.369881543
ACAT2_-_160183174.23-P1P2,999,645,498,894,-1.088640257,0.138570071,-0.475035093
ACCS_+_44087946.23-P1P2,1105,1674,1179,1872,0.009216027,-0.171124693,-0.080954333
ACCS_+_44088028.23-P1P2,836,774,830,1481,-0.094692927,0.603760569,0.254533821
ACCS_+_44088091.23-P1P2,933,904,1051,1012,0.087512362,-0.169590988,-0.041039313
ACCS_+_44088215.23-P1P2,667,1189,677,542,-0.062832249,-1.465789559,-0.764310904
ACCS_-_44088090.23-P1P2,699,1135,702,1377,-0.078122747,-0.053569338,-0.065846042
ACE2_+_15619016.23-P1P2,83,110,0,15,-6.476618744,-3.206874718,-4.841746731
ACE2_+_15619087.23-P1P2,1362,1193,1199,2019,-0.268196366,0.426641267,0.079222451
ACE2_-_15618594.23-P1P2,1352,1597,1356,2218,-0.080039295,0.141489452,0.030725079
ACE2_-_15618975.23-P1P2,2191,3420,1781,3316,-0.383203289,-0.376957919,-0.380080604
ACE2_-_15619013.23-P1P2,1346,2523,1678,2346,0.233762984,-0.437342793,-0.101789904
ACE_+_61554448.23-P1,263,283,338,581,0.277659125,0.70533051,0.491494818
ACE_+_61554829.23-P1,906,1036,1127,2290,0.230603239,0.811917995,0.521260617
ACE_+_61562272.23-P2,1549,1810,1596,3312,-0.041177814,0.539307375,0.249064781
ACE_+_61562293.23-P2,896,1282,786,1155,-0.273270741,-0.482909011,-0.378089876
ACE_-_61554428.23-P1,919,1557,1384,1993,0.506405855,0.023767165,0.26508651
ACE_-_61554458.23-P1,1412,1479,988,1487,-0.599458463,-0.324623005,-0.462040734
ACE_-_61554461.23-P1,1107,1275,1213,1953,0.047623007,0.282789102,0.165206054
ACE_-_61562238.23-P2,20,35,58,114,1.451751579,1.371201397,1.411476488
ACE_-_61562443.23-P2,426,479,532,710,0.236271494,0.235387768,0.235829631
ACE_-_61562661.23-P2,1629,2564,2025,3399,0.229633983,0.0743085,0.151971241
ACHE_+_100493456.23-P1,1672,2615,910,2285,-0.961937719,-0.527022381,-0.74448005
ACHE_+_100493473.23-P1,766,1190,939,1470,0.209479444,-0.027551019,0.090964213
ACHE_+_100494559.23-P2,18,0,0,71,,5.837519401,
ACHE_+_100494570.23-P2,105,144,318,272,1.514336116,0.58513224,1.049734178
ACHE_-_100493122.23-P1,451,569,389,747,-0.2976586,0.06027399,-0.118692305
ACHE_-_100493427.23-P1,817,1398,1352,1703,0.642385847,-0.047691526,0.29734716
ACHE_-_100493486.23-P1,977,1138,904,1599,-0.196337111,0.158263781,-0.019036665
ACHE_-_100494233.23-P2,608,845,741,1040,0.201100897,-0.032845318,0.084127789
ACHE_-_100494236.23-P2,1404,1214,1502,2285,0.013040556,0.580020143,0.29653035
ACHE_-_100494578.23-P2,1258,1754,1249,2205,-0.094659767,-0.002275692,-0.04846773
ACOT13_+_24667341.23-P1P2,821,754,832,1293,-0.065100015,0.445680246,0.190290116
ACOT13_-_24667329.23-P1P2,1110,813,930,810,-0.339558377,-0.337739045,-0.338648711
ACOT13_-_24667371.23-P1P2,665,1173,486,1412,-0.536699348,-0.064868525,-0.300783937
ACOT13_-_24667386.23-P1P2,518,759,449,453,-0.290537974,-1.076994436,-0.683766205
ACOT13_-_24667473.23-P1P2,1634,2254,2126,3970,0.295432292,0.484245892,0.389839092
ACOX1_+_73975227.23-P1P2,467,486,428,699,-0.210113075,0.191930541,-0.009091267
ACOX1_-_73975169.23-P1P2,1472,2171,1331,2157,-0.229568422,-0.34173915,-0.285653786
ACOX1_-_73975193.23-P1P2,883,899,855,583,-0.130790339,-0.957230833,-0.544010586
ACOX1_-_73975196.23-P1P2,963,502,1104,1907,0.112831147,1.593139974,0.852985561
ACOX1_-_73975245.23-P1P2,690,1062,1147,1168,0.648895803,-0.195149092,0.226873355
ACP1_+_264980.23-P1P2,263,321,162,600,-0.783370308,0.569983603,-0.106693352
ACP1_+_265303.23-P1P2,294,449,411,524,0.399020917,-0.109554233,0.144733342
ACP1_-_264967.23-P1P2,657,688,946,1141,0.441645491,0.397412721,0.419529106
ACP1_-_264970.23-P1P2,870,397,523,55,-0.818505776,-3.184041084,-2.00127343
ACP1_-_265107.23-P1P2,217,234,66,339,-1.801458435,0.202371143,-0.799543646
ACP2_+_47270320.23-P1P2,1885,2492,1922,3480,-0.056257509,0.149377637,0.046560064
ACP2_+_47270332.23-P1P2,680,1205,595,1114,-0.276946399,-0.445689514,-0.361317957
ACP2_-_47269915.23-P1P2,442,738,859,786,0.87431044,-0.241497104,0.316406668
ACP2_-_47269958.23-P1P2,2155,3396,1861,4320,-0.295911135,0.014789253,-0.140560941
ACP2_-_47270385.23-P1P2,491,228,271,817,-0.941731494,1.508896654,0.28358258
ACP5_+_11688472.23-P1,928,1141,1220,1592,0.310383116,0.148135944,0.22925953
ACP5_-_11688086.23-P1,947,1463,1154,1506,0.200905572,-0.2906136,-0.044854014
ACP5_-_11688414.23-P1,839,1278,759,1544,-0.228872247,-0.059620684,-0.144246465
ACP5_-_11688437.23-P1,1620,2924,1355,2961,-0.342002283,-0.314264421,-0.328133352
ACP5_-_11688455.23-P1,1102,1291,862,2183,-0.438665771,0.425417529,-0.006624121
ACP5_-_11689356.23-P2,1397,1416,1406,2566,-0.075036748,0.525294305,0.225128778
ACP5_-_11689724.23-P2,122,152,199,517,0.621585961,1.433687357,1.027636659
ACP5_-_11689727.23-P2,723,774,894,1255,0.221977863,0.364876292,0.293427078
ACP5_-_11689744.23-P2,249,512,639,713,1.275368867,0.145352666,0.710360767
ACP5_-_11689771.23-P2,779,1192,1395,1390,0.756268567,-0.110704953,0.322781807
ACP6_+_147141956.23-P1P2,298,344,303,589,-0.060295859,0.443453469,0.191578805
