,sgRNA read counts,,,,sgRNA phentoypes,,
,T0,T0,T14,T14,gamma,gamma,gamma
,Rep1,Rep2,Rep1,Rep2,Rep1,Rep2,ave_Rep1_Rep2
sgId,,,,,,,
ACVR2B_+_38495842.23-P1P2,1057,1245,825,1935,-0.441810674,0.303782224,-0.069014225
ACVR2B_-_38495819.23-P1P2,552,1021,541,1771,-0.113340994,0.462175746,0.174417376
ACVRL1_+_52300726.23-P1P2,2231,3615,2934,4603,0.310877036,0.016173195,0.163525116
ACVRL1_+_52300742.23-P1P2,668,1037,984,1600,0.474508891,0.293250411,0.383879651
ACVRL1_+_52300819.23-P1P2,767,1075,664,1443,-0.292344658,0.09232904,-0.100007809
ACVRL1_-_52300776.23-P1P2,313,566,491,882,0.565259046,0.307571002,0.436415024
ACVRL1_-_52301119.23-P1P2,765,1324,762,1970,-0.089970072,0.240886907,0.075458418
ACY1_+_52017535.23-P1P2,2551,3808,3178,4926,0.232754904,0.038977549,0.135866227
ACY1_+_52017980.23-P1P2,998,1192,787,1437,-0.426977501,-0.062729774,-0.244853638
ACY1_-_52017547.23-P1P2,0,0,0,0,,,
ACY1_-_52017921.23-P1P2,41,172,188,37,2.112735526,-2.549216989,-0.218240732
ACY1_-_52017938.23-P1P2,2002,1802,1490,2965,-0.510430965,0.386027493,-0.062201736
ACY3_+_67414985.23-P2,811,1290,634,1162,-0.439520396,-0.483166597,-0.461343496
ACY3_+_67415013.23-P2,1409,1382,1377,2275,-0.117444374,0.386703329,0.134629478
ACY3_+_67417722.23-P1,547,591,347,630,-0.740906492,-0.240211902,-0.490559197
ACY3_+_67417960.23-P1,1838,1939,1728,3021,-0.173334871,0.30730778,0.066986455
ACY3_+_67418110.23-P1,617,1036,689,1054,0.074932172,-0.307554736,-0.116311282
ACY3_-_67414577.23-P2,326,767,623,961,0.850058877,-0.007095747,0.421481565
ACY3_-_67414607.23-P2,1428,1676,1337,1928,-0.179297835,-0.130322698,-0.154810267
ACY3_-_67414970.23-P2,312,585,442,925,0.418199019,0.328611141,0.37340508
ACY3_-_67417956.23-P1,1492,1990,1380,1789,-0.19688059,-0.486020644,-0.341450617
ACY3_-_67418149.23-P1,516,995,607,1127,0.150024129,-0.152686516,-0.001331193
ACYP2_+_54342830.23-P1P2,1246,1619,1263,1778,-0.064750751,-0.197253262,-0.131002006
ACYP2_-_54342821.23-P1P2,250,292,224,389,-0.242730684,0.081396186,-0.080667249
ACYP2_-_54343153.23-P1P2,767,1773,1505,1251,0.888163683,-0.835516347,0.026323668
ACYP2_-_54343157.23-P1P2,654,831,461,1186,-0.588825207,0.180778028,-0.20402359
ACYP2_-_54343180.23-P1P2,1377,2039,1045,2471,-0.482326939,-0.055172365,-0.268749652
ADAM33_+_3662271.23-P1P2,887,1876,1342,1615,0.51307734,-0.548531263,-0.017726961
ADAM33_+_3662642.23-P1P2,914,1243,1043,1488,0.106171766,-0.07285737,0.016657198
ADAM33_-_3662191.23-P1P2,2002,2319,1611,2906,-0.397786802,-0.006873717,-0.202330259
ADAM33_-_3662194.23-P1P2,1250,1192,1169,2403,-0.180954487,0.679046812,0.249046163
ADAM33_-_3662638.23-P1P2,220,292,603,871,1.370353157,1.244298749,1.307325953
ADAMTS5_+_28339356.23-P1P2,1124,1508,1383,2055,0.214857799,0.114096365,0.164477082
ADAMTS5_+_28339363.23-P1P2,506,915,683,1247,0.348446872,0.114212216,0.231329544
ADAMTS5_-_28338950.23-P1P2,343,729,191,595,-0.92893726,-0.625434746,-0.777186003
ADAMTS5_-_28339372.23-P1P2,820,861,516,1049,-0.752554166,-0.047476065,-0.400015115
ADAMTS5_-_28339421.23-P1P2,461,541,522,1239,0.094981735,0.863070088,0.479025911
ADCK1_+_78266506.23-P1P2,1390,2229,1566,3071,0.087698008,0.129906295,0.108802152
ADCK1_-_78266512.23-P1P2,383,451,365,715,-0.15374925,0.332410208,0.089330479
ADCK1_-_78266523.23-P1P2,437,551,766,584,0.725409791,-0.24848955,0.23846012
ADCK1_-_78266828.23-P1P2,1731,1979,1181,2322,-0.635898082,-0.10180924,-0.368853661
ADCK1_-_78266900.23-P1P2,1295,1752,1213,2810,-0.178673869,0.349161755,0.085243943
ADCK2_+_140372748.23-P1P2,797,1029,856,1460,0.018729751,0.172319787,0.095524769
ADCK2_+_140373084.23-P1P2,1889,1845,2210,2599,0.142122346,0.161930217,0.152026282
ADCK2_+_140373152.23-P1P2,732,1642,798,1310,0.040243776,-0.658292916,-0.30902457
ADCK2_-_140373160.23-P1P2,401,871,230,586,-0.886269697,-0.904177654,-0.895223676
ADCK2_-_140373404.23-P1P2,245,321,455,324,0.808783475,-0.318985085,0.244899195
ADCK3_+_227128242.23-P1P2,848,1451,905,1164,0.009552206,-0.650362061,-0.320404928
ADCK3_+_227128400.23-P1P2,546,672,368,1076,-0.653496506,0.34673934,-0.153378583
ADCK3_-_227128046.23-P1P2,511,1069,696,1330,0.361462693,-0.017241208,0.172110743
ADCK3_-_227128055.23-P1P2,285,489,178,597,-0.763386,-0.044509134,-0.403947567
ADCK3_-_227128078.23-P1P2,786,1092,692,1442,-0.268058596,0.068692708,-0.099682944
ADCK4_+_41222752.23-P1P2,732,977,1051,1359,0.437545794,0.143709389,0.290627591
ADCK4_-_41222351.23-P1P2,446,360,289,578,-0.710275539,0.350666986,-0.179804277
ADCK4_-_41222709.23-P1P2,1741,2283,1801,2755,-0.035419343,-0.061284141,-0.048351742
ADCK4_-_41222769.23-P1P2,909,1705,644,2074,-0.581520928,-0.049761445,-0.315641186
ADCK4_-_41222791.23-P1P2,338,497,358,289,-0.001364981,-1.114581959,-0.55797347
ADCK5_+_145597793.23-P1P2,672,30,190,151,-1.906763136,1.999108543,0.046172704
ADCK5_-_145597191.23-P1P2,973,1598,555,1153,-0.894253355,-0.803280496,-0.848766925
ADCK5_-_145597250.23-P1P2,737,972,669,1242,-0.22395973,0.021231354,-0.101364188
ADCK5_-_145597781.23-P1P2,1353,1327,1259,1726,-0.188184878,0.046858494,-0.070663192
ADCK5_-_145597789.23-P1P2,1038,2103,750,1091,-0.553145265,-1.279203349,-0.916174307
ADC_+_33546832.23-P1P2,1267,1874,1429,3010,0.08928807,0.351236934,0.220262502
ADC_+_33546850.23-P1P2,549,580,430,340,-0.436770811,-1.102923754,-0.769847283
ADC_+_33546977.23-P1P2,812,887,904,1114,0.070541724,-0.003662377,0.033439673
ADC_-_33546826.23-P1P2,744,471,439,920,-0.845383003,0.633501201,-0.105940901
ADC_-_33546829.23-P1P2,446,1085,306,696,-0.627813379,-0.972941432,-0.800377405
ADH1B_+_100242040.23-P1P2,468,541,823,1252,0.730082579,0.878128463,0.804105521
ADH1B_+_100242511.23-P1P2,2018,2089,1501,2957,-0.511303519,0.168916151,-0.171193684
ADH1B_-_100242120.23-P1P2,5659,7141,6032,9730,0.00778797,0.113908086,0.060848028
ADH1B_-_100242280.23-P1P2,2986,4433,2993,6077,-0.080923208,0.122670329,0.02087356
ADH1B_-_100242333.23-P1P2,1098,1620,1334,2103,0.196579291,0.044049437,0.120314364
ADH1C_+_100273655.23-P1P2,2846,4005,2727,4328,-0.145922283,-0.220507344,-0.183214813
ADH1C_-_100273471.23-P1P2,7664,8014,6887,12411,-0.238523206,0.298619348,0.030048071
ADH1C_-_100273518.23-P1P2,4530,3766,4459,8177,-0.107092172,0.78613304,0.339520434
ADH1C_-_100273879.23-P1P2,708,1440,1227,2083,0.709012662,0.200188427,0.454600545
ADH1C_-_100273923.23-P1P2,1705,1588,1485,1892,-0.28361013,-0.079704424,-0.181657277
ADH4_+_100065429.23-P1P2,1054,1616,669,2089,-0.740098073,0.037979694,-0.351059189
ADH4_+_100065433.23-P1P2,3078,3727,3569,5244,0.129225348,0.160247266,0.144736307
ADH4_+_100065444.23-P1P2,670,809,576,606,-0.302393605,-0.749227509,-0.525810557
ADH4_+_100065450.23-P1P2,737,1531,707,1145,-0.144255726,-0.751532285,-0.447894005
ADH4_-_100065227.23-P1P2,1336,1418,1395,2019,-0.021956207,0.177377778,0.077710785
ADH5_+_100009684.23-P1P2,406,687,735,850,0.771963201,-0.025252858,0.373355171
ADH5_+_100009798.23-P1P2,995,1115,1252,1590,0.24716481,0.179577455,0.213371133
ADH5_+_100009821.23-P1P2,518,1188,349,1030,-0.654026383,-0.538296099,-0.596161241
ADH5_+_100009838.23-P1P2,799,959,588,699,-0.52668067,-0.78864396,-0.657662315
ADH5_-_100009831.23-P1P2,476,935,466,453,-0.11493294,-1.377860915,-0.746396928
ADK_+_75911404.23-P2,829,526,278,380,-1.66058854,-0.801468981,-1.231028761
ADK_+_75911444.23-P2,615,522,772,879,0.243713116,0.419407758,0.331560437
ADK_+_75936517.23-P1,210,142,155,130,-0.522422434,-0.459784907,-0.49110367
ADK_+_75936538.23-P1,832,1491,816,960,-0.112315698,-0.967579547,-0.539947622
ADK_+_75936570.23-P1,120,141,89,187,-0.515458486,0.074937507,-0.220260489
ADK_+_75936748.23-P1,295,295,212,1,-0.560952011,-8.536976745,-4.548964378
ADK_-_75911021.23-P2,2301,2636,2445,3461,0.00327216,0.060432971,0.031852565
ADK_-_75911025.23-P2,147,281,211,301,0.437125522,-0.233212244,0.101956639
ADK_-_75911437.23-P2,1524,2053,1809,4220,0.163028184,0.707103771,0.435065977
ADK_-_75936578.23-P1,1286,1631,849,1987,-0.683355505,-0.04757051,-0.365463008
ADORA1_+_203096891.23-P1P2,1048,1159,803,1961,-0.468468146,0.426303369,-0.021082388
ADORA1_+_203097450.23-P1P2,536,918,756,1199,0.411851912,0.05286,0.232355956
ADORA1_+_203097472.23-P1P2,1303,1616,1465,1949,0.084762259,-0.062098708,0.011331776
ADORA1_+_203097506.23-P1P2,1207,1448,1154,2218,-0.149083774,0.282792163,0.066854195
ADORA1_-_203096974.23-P1P2,630,988,1030,1594,0.624919282,0.357663082,0.491291182
ADORA2A_+_24820308.23-P1P2,1847,1896,1992,3000,0.02473246,0.329597936,0.177165198
ADORA2A_-_24819888.23-P1P2,877,1110,1395,1564,0.585315053,0.162275236,0.373795144
ADORA2A_-_24819903.23-P1P2,268,452,137,267,-1.052358429,-1.091888631,-1.07212353
ADORA2A_-_24819947.23-P1P2,780,1020,999,1093,0.272709233,-0.232681351,0.020013941
ADORA2A_-_24820281.23-P1P2,739,845,1159,1094,0.564932975,0.040183891,0.302558433
ADORA2B_+_15848686.23-P1P2,1105,1749,1163,1686,-0.010496594,-0.385331353,-0.197913974
ADORA2B_+_15848965.23-P1P2,464,280,276,308,-0.83375786,-0.194902077,-0.514329968
ADORA2B_-_15848659.23-P1P2,656,1299,837,1352,0.267230486,-0.274711879,-0.003740697
ADORA2B_-_15848791.23-P1P2,1066,1082,884,1290,-0.354390485,-0.078735034,-0.216562759
ADORA2B_-_15848949.23-P1P2,407,739,382,1093,-0.175757478,0.232241531,0.028242027
ADORA3_+_112031013.23-P1,880,1006,1294,1321,0.471960867,0.060594561,0.266277714
ADORA3_+_112031386.23-P1,1294,1320,1287,2145,-0.092126885,0.368034118,0.137953616
ADORA3_+_112031407.23-P1,400,433,357,962,-0.248377247,0.819264269,0.285443511
ADORA3_+_112031411.23-P1,302,568,827,1080,1.369037458,0.594662877,0.981850168
ADORA3_+_112031418.23-P1,1868,2766,1880,2853,-0.075063115,-0.28772701,-0.181395062
ADORA3_+_112045890.23-P2,4023,4231,3434,4841,-0.31268302,-0.138099192,-0.225391106
ADORA3_+_112046055.23-P2,333,687,444,1325,0.330736178,0.615204755,0.472970466
ADORA3_+_112046115.23-P2,331,150,181,374,-0.955142841,0.985670169,0.015263664
ADORA3_+_112046284.23-P2,1451,2071,1094,1566,-0.491736103,-0.735648941,-0.613692522
ADORA3_-_112046251.23-P2,493,1031,562,1427,0.104681162,0.136535402,0.120608282
ADRA1A_+_26724406.23-P1P2,682,1055,943,1237,0.38318471,-0.102803099,0.140190806
ADRA1A_-_26724311.23-P1P2,440,348,583,718,0.321691038,0.712490938,0.517090988
ADRA1A_-_26724340.23-P1P2,955,1232,1198,1511,0.242753948,-0.037904196,0.102424876
ADRA1A_-_26724356.23-P1P2,562,1023,919,1429,0.62519341,0.149794171,0.38749379
ADRA1A_-_26724373.23-P1P2,893,1724,1312,2238,0.470734318,0.044044662,0.25738949
ADRA1B_+_159343520.23-P1P2,797,885,617,1790,-0.453610556,0.683804627,0.115097035
ADRA1B_+_159344209.23-P1P2,88,244,35,290,-1.414449923,-0.083233848,-0.748841886
ADRA1B_+_159344222.23-P1P2,310,266,110,519,-1.579066013,0.631902693,-0.47358166
ADRA1B_-_159343504.23-P1P2,846,1438,1196,1612,0.4151865,-0.167617532,0.123784484
ADRA1B_-_159343900.23-P1P2,1209,1559,1272,1923,-0.011016896,-0.029667766,-0.020342331
ADRA1D_+_4229485.23-P1P2,1000,1100,1457,1328,0.458699556,-0.060653977,0.199022789
ADRA1D_-_4229164.23-P1P2,672,682,945,1199,0.407551775,0.481582414,0.444567094
ADRA1D_-_4229250.23-P1P2,910,1173,734,1362,-0.394387804,-0.11688191,-0.255634857
ADRA1D_-_4229495.23-P1P2,550,812,398,1260,-0.550964509,0.301466501,-0.124749004
ADRA1D_-_4229926.23-P1P2,1301,1194,1210,1904,-0.188915236,0.340825042,0.075954903
ADRA2A_-_112837142.23-P1P2,974,1508,1371,2107,0.408933572,0.150148285,0.279540929
ADRA2A_-_112837201.23-P1P2,686,622,523,819,-0.475698951,0.064543271,-0.20557784
ADRA2A_-_112837216.23-P1P2,909,573,173,649,-2.477809578,-0.152722261,-1.31526592
ADRA2A_-_112837238.23-P1P2,2371,2469,2936,4298,0.224054984,0.467333046,0.345694015
ADRA2A_-_112837251.23-P1P2,1397,1637,1082,2357,-0.452932843,0.193491837,-0.129720503
ADRA2B_+_96781839.23-P1P2,419,499,304,268,-0.547180242,-1.229212415,-0.888196328
ADRA2B_-_96781873.23-P1P2,2840,3742,2121,4312,-0.50544763,-0.127857981,-0.316652806
ADRA2B_-_96781894.23-P1P2,1034,1390,1028,1769,-0.092697243,0.015443565,-0.038626839
ADRA2B_-_96782243.23-P1P2,1438,1821,1927,2862,0.337991574,0.319887149,0.328939362
ADRA2B_-_96782246.23-P1P2,39,70,0,0,,-6.48215272,
ADRA2C_+_3768074.23-P1P2,278,445,158,283,-0.899461646,-0.985408883,-0.942435265
ADRA2C_+_3768082.23-P1P2,1031,1288,1170,2062,0.098162876,0.346506139,0.222334507
ADRA2C_+_3768098.23-P1P2,554,866,727,1396,0.307768066,0.356454411,0.332111239
ADRA2C_-_3767700.23-P1P2,1150,1083,698,1652,-0.804636241,0.276774844,-0.263930699
ADRA2C_-_3767888.23-P1P2,263,398,209,197,-0.415861179,-1.346978401,-0.88141979
ADRB1_+_115804002.23-P1P2,769,1125,1010,1157,0.308998468,-0.291941737,0.008528365
ADRB1_-_115803895.23-P1P2,762,1000,835,1344,0.047683878,0.094127538,0.070905708
ADRB1_-_115804061.23-P1P2,276,376,150,606,-0.964007088,0.356179532,-0.303913778
ADRB1_-_115804069.23-P1P2,1057,1446,1054,2526,-0.088401831,0.472381487,0.191989828
ADRB1_-_115804075.23-P1P2,1041,1451,1437,2414,0.380788672,0.401972556,0.391380614
ADRB2_+_148206220.23-P1P2,638,1144,811,1590,0.261844169,0.142534113,0.202189141
ADRB2_+_148206227.23-P1P2,1475,2629,1762,3198,0.172197648,-0.049749803,0.061223922
ADRB2_-_148206186.23-P1P2,871,1436,748,1958,-0.30393577,0.114919416,-0.094508177
ADRB2_-_148206207.23-P1P2,314,339,835,507,1.326710317,0.248294874,0.787502595
ADRB2_-_148206413.23-P1P2,860,916,1044,1592,0.195411825,0.465015232,0.330213529
ADRB3_+_37822768.23-P1P2,86,100,113,63,0.309612886,-0.998981867,-0.34468449
ADRB3_-_37822919.23-P1P2,419,798,626,1204,0.494911092,0.26096914,0.377940116
ADRB3_-_37823380.23-P1P2,1284,1447,1190,1856,-0.19398495,0.026726188,-0.083629381
ADRB3_-_37823667.23-P1P2,1144,1664,1803,2530,0.572011023,0.272076351,0.422043687
ADRB3_-_37823742.23-P1P2,1065,904,1393,2090,0.303040506,0.876702664,0.589871585
ADRBK1_+_67033933.23-P1P2,483,631,536,681,0.06590849,-0.222390807,-0.078241159
ADRBK1_+_67034195.23-P1P2,923,1378,824,775,-0.247987632,-1.162713273,-0.705350452
ADRBK1_+_67034566.23-P1P2,1454,1622,1020,2852,-0.595759439,0.481794562,-0.056982438
ADRBK1_-_67033953.23-P1P2,1297,1506,1396,2711,0.02181914,0.515697743,0.268758442
ADRBK1_-_67034001.23-P1P2,560,143,156,660,-1.92818212,1.874045277,-0.027068421
ADRBK2_+_25960616.23-P1P2,2941,5261,3047,4980,-0.033218606,-0.411596908,-0.222407757
ADRBK2_-_25960625.23-P1P2,256,187,104,321,-1.383861603,0.447129427,-0.468366088
ADRBK2_-_25960628.23-P1P2,919,671,772,429,-0.335765336,-0.977740719,-0.656753027
ADRBK2_-_25960707.23-P1P2,1405,1670,1242,2956,-0.262206278,0.491392567,0.114593144
ADRBK2_-_25960854.23-P1P2,669,615,474,967,-0.581420473,0.320523879,-0.130448297
ADSSL1_+_105190776.23-P1P2,1659,1228,1474,1831,-0.254878683,0.24391563,-0.005481527
ADSSL1_+_105190789.23-P1P2,629,735,829,1039,0.314010763,0.166973899,0.240492331
ADSSL1_+_105190984.23-P1P2,1228,1946,1106,1367,-0.235260497,-0.841904067,-0.538582282
ADSSL1_-_105190591.23-P1P2,347,260,239,929,-0.622226366,1.504761373,0.441267503
ADSSL1_-_105190615.23-P1P2,932,1398,740,1645,-0.417106006,-0.097682377,-0.257394191
AFG3L2_+_12377215.23-P1P2,1093,616,296,178,-1.968925642,-2.12345871,-2.046192176
AFG3L2_-_12377072.23-P1P2,764,279,212,115,-1.933809695,-1.611036861,-1.772423278
AFG3L2_-_12377209.23-P1P2,1051,470,28,236,-5.314493353,-1.326279497,-3.320386425
AFG3L2_-_12377212.23-P1P2,667,247,192,94,-1.880881772,-1.72618398,-1.803532876
AFG3L2_-_12377232.23-P1P2,195,105,0,52,-7.699011166,-1.3462114,-4.522611283
AGTR1_+_148416039.23-P1P2,1075,1544,678,2019,-0.749280803,0.054562558,-0.347359123
AGTR1_+_148416061.23-P1P2,1771,1776,1801,2694,-0.060067352,0.268712669,0.104322658
AGTR1_-_148415743.23-P1P2,402,423,90,284,-2.243499916,-0.907172334,-1.575336125
AGTR1_-_148415748.23-P1P2,820,825,648,662,-0.423931418,-0.649968503,-0.53694996
AGTR1_-_148415793.23-P1P2,664,1387,986,1013,0.486103083,-0.785739214,-0.149818065
AGTR2_+_115301983.23-P1P2,281,553,409,952,0.457229391,0.451276493,0.454252942
AGTR2_+_115302459.23-P1P2,789,1002,607,1279,-0.462630105,0.019728155,-0.221450975
AGTR2_-_115301994.23-P1P2,1252,1521,936,2077,-0.503955449,0.117075463,-0.193439993
AGTR2_-_115302232.23-P1P2,319,354,157,255,-1.107093186,-0.805657713,-0.95637545
AGTR2_-_115302383.23-P1P2,533,568,626,896,0.147725803,0.325202202,0.236464002
AGXT2_+_35048018.23-P1P2,56,220,224,468,1.915698678,0.756599406,1.336149042
AGXT2_-_35047934.23-P1P2,954,1438,824,1829,-0.29564625,0.014585799,-0.140530226
AGXT2_-_35047958.23-P1P2,760,1114,432,920,-0.899269428,-0.608449067,-0.753859247
AGXT2_-_35047966.23-P1P2,13,0,0,0,,,
AGXT2_-_35048026.23-P1P2,360,579,406,733,0.089181499,0.00784425,0.048512875
AGXT_+_241808192.23-P1P2,145,294,425,134,1.467108619,-1.465988755,0.000559932
AGXT_+_241808286.23-P1P2,940,1275,1244,1932,0.319952502,0.267192247,0.293572374
AGXT_+_241808483.23-P1P2,1940,2538,1621,3127,-0.343473883,-0.03131845,-0.187396167
AGXT_+_241808706.23-P1P2,621,980,1280,1359,0.959177315,0.139286201,0.549231758
AGXT_-_241808273.23-P1P2,993,1192,1389,2139,0.399879655,0.511146646,0.455513151
AHCY_-_32890731.23-P1P2,486,791,648,829,0.330736178,-0.264711193,0.033012492
AHCY_-_32890950.23-P1P2,1078,1132,1124,1422,-0.024016464,-0.003358093,-0.013687279
AHCY_-_32891095.23-P1P2,1522,2078,1661,3397,0.041782393,0.376659964,0.209221178
AHCY_-_32891101.23-P1P2,479,1478,568,1730,0.161563952,-0.105279832,0.02814206
AHCY_-_32891145.23-P1P2,305,355,283,861,-0.192308511,0.945788613,0.376740051
AK1_+_130639930.23-P1P2,1057,1015,675,1086,-0.731317291,-0.234861225,-0.483089258
AK1_+_130639945.23-P1P2,813,1683,768,1806,-0.166450363,-0.230642884,-0.198546624
AK1_-_130639512.23-P1P2,2639,3858,2854,5573,0.028692663,0.19819541,0.113444036
AK1_-_130639710.23-P1P2,881,1027,1074,1470,0.201478748,0.184974373,0.19322656
AK1_-_130639906.23-P1P2,1077,1269,1346,1619,0.237358839,0.019005316,0.128182077
AK2_+_33502042.23-P1P2,708,1223,874,1518,0.219582598,-0.020658213,0.099462192
AK2_+_33502056.23-P1P2,309,526,264,312,-0.31137023,-1.085922371,-0.6986463
AK2_+_33502088.23-P1P2,2320,2826,1926,2576,-0.352818424,-0.466034472,-0.409426448
AK2_+_33502194.23-P1P2,476,447,592,350,0.230334281,-0.68532551,-0.227495614
AK2_+_33502475.23-P1P2,828,861,784,718,-0.163078435,-0.594434994,-0.378756714
AK3_+_4740766.23-P1P2,486,1273,594,1223,0.205205296,-0.390213616,-0.09250416
AK3_+_4740798.23-P1P2,559,1251,843,1319,0.508383027,-0.256042825,0.126170101
AK3_-_4740765.23-P1P2,556,700,516,221,-0.192015139,-1.995714153,-1.093864646
AK3_-_4741156.23-P1P2,980,1558,1161,1864,0.160212996,-0.073698974,0.043257011
AK3_-_4741205.23-P1P2,874,468,582,973,-0.670915448,0.723525675,0.026305113
AK4_+_65613321.23-P1P2,818,1017,950,1289,0.131525349,0.009526984,0.070526166
AK4_+_65614269.23-P1P2,477,675,707,795,0.483419627,-0.096338242,0.193540693
AK4_-_65613240.23-P1P2,1081,1088,1295,1554,0.176284253,0.181902347,0.1790933
AK4_-_65613440.23-P1P2,1269,1609,916,1831,-0.554573887,-0.145938135,-0.350256011
AK4_-_65613504.23-P1P2,607,702,603,965,-0.093839836,0.126652312,0.016406238
AK5_-_77747738.23-P1P2,678,519,443,640,-0.698279896,-0.030068234,-0.364174065
AK5_-_77747887.23-P1P2,742,1664,1071,1242,0.445166067,-0.75439586,-0.154614897
AK5_-_77748084.23-P1P2,515,1141,571,1149,0.064616992,-0.322325594,-0.128854301
AK5_-_77748096.23-P1P2,918,898,484,725,-1.007788428,-0.64114005,-0.824464239
AK5_-_77748351.23-P1P2,822,667,894,1045,0.036835116,0.315338676,0.176086896
AK7_+_96858465.23-P1P2,1759,2222,1558,2869,-0.259361571,0.036283551,-0.11153901
AK7_+_96858485.23-P1P2,84,41,0,15,-6.493692258,,
AK7_+_96858941.23-P1P2,1428,2856,1572,4150,0.054303917,0.206709757,0.130506837
AK7_-_96858547.23-P1P2,774,650,1311,2441,0.675960893,1.576555072,1.126257982
AK7_-_96858913.23-P1P2,797,371,886,347,0.068425653,-0.428889124,-0.180231736
AK8_+_135753659.23-P1P2,408,360,291,362,-0.571851321,-0.32441281,-0.448132065
AK8_+_135753664.23-P1P2,484,1344,1160,4247,1.176744531,1.32750537,1.252124951
AK8_-_135753610.23-P1P2,385,526,476,690,0.221801806,0.059127962,0.140464884
AK8_-_135753634.23-P1P2,1499,2151,1744,2301,0.134098335,-0.235152141,-0.050526903
AK8_-_135754341.23-P1P2,860,1063,889,1431,-0.036454562,0.096476475,0.030010956
AKAP10_+_19881070.23-P1P2,576,565,675,476,0.144517369,-0.579694894,-0.217588763
AKAP10_+_19881078.23-P1P2,672,647,1078,671,0.597522718,-0.279858546,0.158832086
AKAP10_+_19881106.23-P1P2,623,464,410,638,-0.687909575,0.127026018,-0.280441778
AKAP10_+_19881109.23-P1P2,1135,949,760,1781,-0.662922295,0.575801924,-0.043560186
AKAP10_+_19881129.23-P1P2,1426,1572,1108,2151,-0.448317422,0.120000707,-0.164158358
AKAP11_+_42846358.23-P1P2,1294,1194,1331,1226,-0.043628368,-0.294249458,-0.168938913
AKAP11_+_42846376.23-P1P2,909,822,970,1385,0.009403131,0.420270077,0.214836604
AKAP11_+_42846479.23-P1P2,946,608,350,216,-1.518786583,-1.825445612,-1.672116097
AKAP11_+_42846688.23-P1P2,1312,1478,1499,1915,0.107931342,0.041292522,0.074611932
AKAP11_-_42846604.23-P1P2,381,434,566,675,0.486709734,0.304786859,0.395748297
AKAP12_+_151561539.23-P1,508,693,596,1256,0.146182512,0.525503606,0.335843059
AKAP12_+_151646838.23-P2,1224,443,210,312,-2.627443647,-0.83816627,-1.732804958
AKAP12_+_151646850.23-P2,387,566,288,729,-0.510566076,0.032711161,-0.238927458
AKAP12_+_151647266.23-P2,1256,1662,1451,2806,0.123909734,0.423189027,0.27354938
AKAP12_-_151561572.23-P1,1196,1669,1487,2480,0.229885936,0.238950566,0.234418251
AKAP12_-_151561599.23-P1,747,729,842,1018,0.088410669,0.149341241,0.118875955
AKAP12_-_151561609.23-P1,556,682,683,1054,0.212499374,0.295625622,0.254062498
AKAP12_-_151562006.23-P1,1530,2089,1029,2345,-0.656589992,-0.16563017,-0.411110081
AKAP12_-_151646835.23-P2,2016,2705,1973,3618,-0.115406004,0.087158214,-0.014123895
AKAP12_-_151646844.23-P2,272,1013,326,823,0.176963991,-0.632075439,-0.227555724
AKAP13_+_85923789.23-P1P2,576,969,983,1478,0.686821283,0.276672098,0.481746691
AKAP13_+_85923863.23-P1P2,888,1650,959,2571,0.026669817,0.307457985,0.167063901
AKAP13_+_85923876.23-P1P2,875,1199,782,1508,-0.246415731,-0.00160083,-0.124008281
AKAP13_+_85924198.23-P1P2,973,1579,1013,745,-0.026178858,-1.416104441,-0.721141649
AKAP13_+_85924290.23-P1P2,489,664,231,720,-1.166242935,-0.215591935,-0.690917435
AKAP14_+_119030176.23-P1P2,1050,1727,1197,2338,0.104732503,0.104601247,0.104666875
AKAP14_+_119030185.23-P1P2,2520,3459,2347,4408,-0.186907213,0.01736361,-0.084771802
AKAP14_+_119030227.23-P1P2,578,582,710,1072,0.21244821,0.548808247,0.380628229
AKAP14_+_119030337.23-P1P2,1663,2025,1726,2926,-0.030657026,0.198602261,0.083972618
AKAP14_-_119030368.23-P1P2,617,741,410,787,-0.673947901,-0.245515507,-0.459731704
AKAP1_+_55162988.23-P1P2,935,1812,1241,1992,0.324163524,-0.195770908,0.064196308
AKAP1_+_55162999.23-P1P2,1077,1067,552,1201,-1.048579399,-0.161729625,-0.605154512
AKAP1_+_55163111.23-P1P2,938,1539,784,2063,-0.34303559,0.090344989,-0.1263453
AKAP1_-_55162653.23-P1P2,404,475,462,1011,0.109236237,0.757377978,0.433307108
AKAP1_-_55162661.23-P1P2,516,193,480,474,-0.188637981,0.963880611,0.387621315
AKAP3_+_4754219.23-P2,837,969,961,1283,0.115007487,0.072546999,0.093777243
AKAP3_+_4757792.23-P1,908,1600,1367,2003,0.505947719,-0.008315084,0.248816317
AKAP3_+_4757813.23-P1,961,1133,698,650,-0.545610716,-1.134041838,-0.839826277
